Żywność,Kalorie,JednostkaKalorii,JednostkaWagi,Kategoria,Porcja,WagaPorcji
Kolendra,23,kcal,g,ziola i przyprawy,łyżka,8.6
Kolokazja,112,kcal,g,ziola i przyprawy,4 szklanki,4
Koper,43,kcal,g,ziola i przyprawy,szklanka, w plasterkach,104
Koper włoski,31,kcal,g,ziola i przyprawy,łodyżek,1
Korzeń cykorii,72,kcal,g,ziola i przyprawy,koper,234
Kumin,375,kcal,g,ziola i przyprawy,korzeń,60
Kurkuma,354,kcal,g,ziola i przyprawy,łyżka,6
Laska wanilii,250,kcal,g,ziola i przyprawy,łyżeczka,2.2
Liście cykorii,23,kcal,g,ziola i przyprawy,sztuka,4
Liście winogron,93,kcal,g,ziola i przyprawy,szklanka,29
Lukrecja,375,kcal,g,ziola i przyprawy,liść ,3
Maggi,104,kcal,g,ziola i przyprawy,łyżka,18
Majeranek,271,kcal,g,ziola i przyprawy,łyżeczka,4
Maniok,160,kcal,g,ziola i przyprawy,łyżka,1.7
Mięta,70,kcal,g,ziola i przyprawy,korzeń,408
Mniszek lekarski,45,kcal,g,ziola i przyprawy,łyżka,1.6
Nasiona anyżu,337,kcal,g,ziola i przyprawy,szklanka,55
Nasiona gorczycy,508,kcal,g,ziola i przyprawy,łyżeczka,2.1
Nasiona kminku,333,kcal,g,ziola i przyprawy,łyżeczka,2
Nasiona kopru włoskiego,345,kcal,g,ziola i przyprawy,łyżka,6.7
Nasiona maku,525,kcal,g,ziola i przyprawy,łyżeczka,2
Nasiona sezamu,573,kcal,g,ziola i przyprawy,łyżka,8.8
Nasiona sezamu czarnego,573,kcal,g,ziola i przyprawy,szklanka,144
Ocet,18,kcal,g,ziola i przyprawy,łyżka,9
Ocet balsamiczny,88,kcal,g,ziola i przyprawy,łyżka,14.9
Ocet jabłkowy,21,kcal,g,ziola i przyprawy,łyżka,16
Ocet winny czerwony,19,kcal,g,ziola i przyprawy,łyżka,14.9
Oregano,265,kcal,g,ziola i przyprawy,łyżka,14.9
Papryka,251,kcal,g,ziola i przyprawy,łyżeczka,1
Papryka czerwona,251,kcal,g,ziola i przyprawy,łyżeczka,2.4
Pasternak,75,kcal,g,ziola i przyprawy,łyżeczka,3
Pieprz biały,296,kcal,g,ziola i przyprawy,pasternak,170
Pieprz cayenne,318,kcal,g,ziola i przyprawy,łyżeczka,2.4
Pieprz czarny,251,kcal,g,ziola i przyprawy,łyżeczka,1.8
Pietruszka,36,kcal,g,ziola i przyprawy,łyżeczka,2.4
Piżmian,33,kcal,g,ziola i przyprawy,łyżka,3.8
Rokietta siewna,25,kcal,g,ziola i przyprawy,łyżka,18
Rosół,100,kcal,g,ziola i przyprawy,liść,2
Rozmaryn,131,kcal,g,ziola i przyprawy,łyżeczka,5
Rzeżucha,32,kcal,g,ziola i przyprawy,łyżka,1.7
Siekana cebula,40,kcal,g,ziola i przyprawy,łodyżka,1
Skórka pomarańczowa,97,kcal,g,ziola i przyprawy,szklanka,160
Stewia,0,kcal,g,ziola i przyprawy,łyżka,6
Szafran,310,kcal,g,ziola i przyprawy,łyżka,15
Szałwia,315,kcal,g,ziola i przyprawy,łyżka,2.1
Szczypiorek,30,kcal,g,ziola i przyprawy,łyżka,2
Sól,0,kcal,g,ziola i przyprawy,łyżka,3
Sól czosnkowa,0,kcal,g,ziola i przyprawy,łyżka,18
Sól jodowana,0,kcal,g,ziola i przyprawy,4 łyżeczki,1
Sól morska,0,kcal,g,ziola i przyprawy,łyżka,18
Tamaryndowiec,239,kcal,g,ziola i przyprawy,łyżka,18
Tymianek,276,kcal,g,ziola i przyprawy,tamaryndowiec,2
Ziemniak słodki,118,kcal,g,ziola i przyprawy,łyżeczka,1
