Żywność,Kalorie,JednostkaKalorii,JednostkaWagi,Kategoria,Porcja,WagaPorcji
Twaróg półtłusty,133,kcal,g,ser,plasterek,30
Twaróg tłusty,148,kcal,g,ser,porcja,100
Pasta serowa obazta,303,kcal,g,ser topiony,łyżka,15
Ser feta śmietankowy,342,kcal,g,ser topiony,łyżka,15
Ser kozi,364,kcal,g,ser topiony,łyżka,14.5
Serek mascarpone,450,kcal,g,ser topiony,łyżeczka,10
Serek wiejski,98,kcal,g,ser topiony,łyżka,14.5
Serek śmietankowy czosnkowy,342,kcal,g,ser topiony,szklanka,226
Serek śmietankowy oliwkowy,342,kcal,g,ser topiony,łyżka,14.5
Serek śmietankowy orzechowy,342,kcal,g,ser topiony,łyżka,14.5
Serek śmietankowy Philadelphia,342,kcal,g,ser topiony,łyżka,14.5
Serek śmietankowy ze szczypiorkiem,342,kcal,g,ser topiony,łyżka,14.5
Serek śmietanowy,342,kcal,g,ser topiony,łyżka,14.5
Serek śmietanowy z ziołami,342,kcal,g,ser topiony,łyżka,14.5
Cheddar,403,kcal,g,ser w plasterkach,plasterek,24
Emmentaler,357,kcal,g,ser w plasterkach,plasterek,28
Fol Epi,388,kcal,g,ser w plasterkach,plasterek,25
Gouda,356,kcal,g,ser w plasterkach,plasterek,24
Gouda Light,247,kcal,g,ser w plasterkach,paczka,198
Havarti,371,kcal,g,ser w plasterkach,plasterek,16
Mozzarella,280,kcal,g,ser w plasterkach,plasterek,28
Młoda gouda,356,kcal,g,ser w plasterkach,plasterek,28
Ser edamski,357,kcal,g,ser w plasterkach,plasterek,28
Ser Esrom,322,kcal,g,ser w plasterkach,plasterek,28
Ser kanapkowy,148,kcal,g,ser w plasterkach,plasterek,23
Ser królewski,359,kcal,g,ser w plasterkach,plasterek,21
Ser Leerdammer,284,kcal,g,ser w plasterkach,plasterek,15
Ser Maasdam,344,kcal,g,ser w plasterkach,plasterek,25
Ser maślany,388,kcal,g,ser w plasterkach,plasterek,18
Ser Muenster,368,kcal,g,ser w plasterkach,plasterek,26
Ser podlaski,388,kcal,g,ser w plasterkach,plasterek,28
Ser salami,351,kcal,g,ser w plasterkach,plasterek,20
Ser tostowy,274,kcal,g,ser w plasterkach,plasterek,15
Ser tylżycki,340,kcal,g,ser w plasterkach,plasterek,20
Ser w plasterkach,356,kcal,g,ser w plasterkach,plasterek,25
Ser Westberg,277,kcal,g,ser w plasterkach,plasterek,28
Ser wędzony,410,kcal,g,ser w plasterkach,plasterek,16
Ser z pieprzem,100,kcal,g,ser w plasterkach,plasterek,20
Talerz serów,357,kcal,g,ser w plasterkach,plasterek,21
Bitki z indyka,189,kcal,g,drob i ptactwo,porcja,100
Gołąb,142,kcal,g,drob i ptactwo,bitka,113
Gęś,305,kcal,g,drob i ptactwo,gołąb,199
Indyk,189,kcal,g,drob i ptactwo,2 gęsi,591
Kaczka,337,kcal,g,drob i ptactwo,indyk,3812
Kaczka krzyżówka,211,kcal,g,drob i ptactwo,2 kaczki,634
Kapłon,229,kcal,g,drob i ptactwo,2 kaczki,270
Kurczak,219,kcal,g,drob i ptactwo,kapłon,1418
Perliczka,158,kcal,g,drob i ptactwo,2 kurczaka,334
Pierś z bażanta,133,kcal,g,drob i ptactwo,2 perliczki,345
Pierś z indyka,135,kcal,g,drob i ptactwo,2 piersi,182
